
=======================================================================
  B881 NR5G MAC UL TB Stats — Parsed Records
=======================================================================
  Pkt   Ver    Delta Tx (Bytes)   Cumul Tx        ReTx      
  530   3.1    0                  1119343568      94803364  
  531   3.1    12                 1119343580      94803364  
  532   3.1    233                1119343813      94803364  
  533   3.1    0                  1119343813      94803364  
  534   3.1    0                  1119343813      94803364  
  535   3.1    285                1119344098      94803364  
  536   3.1    0                  1119344098      94803364  
  537   3.1    0                  1119344098      94803364  
  538   3.1    233                1119344331      94803364  
  539   3.1    253                1119344584      94803364  
  540   3.1    0                  1119344584      94803364  
  541   3.1    0                  1119344584      94803364  
  542   3.1    253                1119344837      94803364  
  543   3.1    0                  1119344837      94803617  
  544   3.1    0                  1119344837      94803617  
  545   3.1    0                  1119344837      94803617  
  546   3.1    0                  1119344837      94803617  
  547   3.1    233                1119345070      94803617  
  548   3.1    0                  1119345070      94803617  
  549   3.1    0                  1119345070      94803617  
  550   3.1    0                  1119345070      94803617  
  551   3.1    253                1119345323      94803617  
  552   3.1    0                  1119345323      94803617  
  553   3.1    0                  1119345323      94803617  
  554   3.1    0                  1119345323      94803617  
  555   3.1    233                1119345556      94803617  
  556   3.1    0                  1119345556      94803617  
  557   3.1    0                  1119345556      94803617  
  558   3.1    896                1119346452      94803617  
  559   3.1    0                  1119346452      94803617  
  560   3.1    0                  1119346452      94803617  
  561   3.1    253                1119346705      94803617  
  562   3.1    0                  1119346705      94803617  
  563   3.1    0                  1119346705      94803617  
  564   3.1    253                1119346958      94803617  
  565   3.1    0                  1119346958      94803617  
  566   3.1    0                  1119346958      94803617  
  567   3.1    253                1119347211      94803617  
  568   3.1    0                  1119347211      94803617  
  569   3.1    0                  1119347211      94803617  
  570   3.1    253                1119347464      94803617  
  571   3.1    592                1119348056      94803617  
  572   3.1    0                  1119348056      94803617  
  573   3.1    0                  1119348056      94803617  
  574   3.1    0                  1119348056      94803617  
  575   3.1    253                1119348309      94803617  
  576   3.1    1505               1119349814      94803617  
  577   3.1    0                  1119349814      94803617  
  578   3.1    0                  1119349814      94803617  
  579   3.1    0                  1119349814      94803617  
  580   3.1    0                  1119349814      94803617  
  581   3.1    0                  1119349814      94803617  
  582   3.1    0                  1119349814      94803617  
  583   3.1    269                1119350083      94803617  
  584   3.1    309                1119350392      94803617  
  585   3.1    0                  1119350392      94803617  
  586   3.1    0                  1119350392      94803617  
  587   3.1    269                1119350661      94803617  
  588   3.1    269                1119350930      94803617  
  589   3.1    285                1119351215      94803617  
  590   3.1    0                  1119351215      94803617  
  591   3.1    285                1119351500      94803617  
  592   3.1    1121               1119352621      94803617  
  593   3.1    421                1119353042      94803617  
  594   3.1    0                  1119353042      94803617  
  595   3.1    0                  1119353042      94803617  
  596   3.1    0                  1119353042      94803617  
  597   3.1    0                  1119353042      94803617  
  598   3.1    0                  1119353042      94803617  
  599   3.1    269                1119353311      94803617  
  600   3.1    2847               1119356158      94803617  
  601   3.1    0                  1119356158      94803617  
  602   3.1    0                  1119356158      94803617  
  603   3.1    285                1119356443      94803617  
  604   3.1    421                1119356864      94803617  
  605   3.1    1121               1119357985      94803617  
  606   3.1    1505               1119359490      94803617  
  607   3.1    1121               1119360611      94803617  
  608   3.1    1121               1119361732      94803617  
  609   3.1    1121               1119362853      94803617  
  610   3.1    1121               1119363974      94803617  
  611   3.1    2078               1119366052      94803617  
  612   3.1    2593               1119368645      94803617  
  613   3.1    253                1119368898      94805218  
  614   3.1    1537               1119370435      94806819  
  615   3.1    2433               1119372868      94806819  
  616   3.1    1601               1119374469      94806819  
  617   3.1    269                1119374738      94806819  
  618   3.1    3682               1119378420      94806819  
  619   3.1    1438               1119379858      94806819  
  620   3.1    2338               1119382196      94806819  
  621   3.1    2688               1119384884      94807908  
  622   3.1    4577               1119389461      94807908  
  623   3.1    5697               1119395158      94807908  
  624   3.1    2946               1119398104      94807908  
  625   3.1    301                1119398405      94807908  
  626   3.1    7876               1119406281      94807908  
  627   3.1    2946               1119409227      94807908  
  628   3.1    10371              1119419598      94807908  
  629   3.1    2625               1119422223      94807908  
  630   3.1    1121               1119423344      94807908  
  631   3.1    4352               1119427696      94807908  
  632   3.1    5537               1119433233      94807908  
  633   3.1    6661               1119439894      94807908  
  634   3.1    3138               1119443032      94807908  
  635   3.1    5763               1119448795      94807908  
